Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
13185350,Minimalism: Live a Meaningful Life,Joshua Fields Millburn,"Millburn, Joshua Fields",Ryan Nicodemus,"=""""","=""""",3,3.68,Mins Publishing,Kindle Edition,138,2011,2011,2019/05/12,2019/05/12,,,read,,,,1,,,0,,,,,
6470498,The God Engines,John Scalzi,"Scalzi, John",,"=""1596062800""","=""9781596062801""",5,3.59,Subterranean Press,Hardcover,136,2009,2009,2019/05/11,2019/05/06,,,read,,,,1,,,0,,,,,
34941133,Principles: Life and Work,Ray Dalio,"Dalio, Ray",,"=""""","=""""",0,4.19,Simon & Schuster,Kindle Edition,593,2017,2011,2019/05/08,2018/10/30,,,read,,,,1,,,0,,,,,
40409969,Medium Raw: A Bloody Valentine to the World of Food and the People Who Cook,Anthony Bourdain,"Bourdain, Anthony",,"=""""","=""""",0,3.78,HarperCollins e-books,Kindle Edition,288,2010,2010,2019/02/12,2019/02/08,,,read,,,,1,,,0,,,,,
15682,A Happy Death,Albert Camus,"Camus, Albert","Richard Howard, Jean Sarocchi","=""0141186585""","=""9780141186580""",0,3.82,Penguin Classics,Paperback,144,2002,1971,2019/02/06,2019/01/29,,,read,,,,1,,,0,,,,,
25899336,When Breath Becomes Air,Paul Kalanithi,"Kalanithi, Paul",,"=""""","=""""",0,4.35,Random House,Kindle Edition,208,2016,2016,2019/02/05,2019/01/26,,,read,,,,1,,,0,,,,,
36223860,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,"=""1250186927""","=""9781250186928""",0,4.28,Tor.com,Hardcover,158,2018,2018,2019/01/30,2019/01/27,,,read,,,,1,,,0,,,,,
18007564,The Martian,Andy Weir,"Weir, Andy",,"=""0804139024""","=""9780804139021""",0,4.40,Crown,Hardcover,369,2014,2012,2019/01/30,2019/01/26,,,read,,,,1,,,0,,,,,
681941,The Moral Animal: Why We Are the Way We Are: The New Science of Evolutionary Psychology,Robert Wright,"Wright, Robert",,"=""0679763996""","=""9780679763994""",0,4.07,Vintage,Paperback,496,1995,1994,2019/01/07,2018/12/23,,,read,,,,1,,,0,,,,,
35167718,"""What Do You Care What Other People Think?"": Further Adventures of a Curious Character",Richard P. Feynman,"Feynman, Richard P.",Ralph Leighton,"=""0393355640""","=""9780393355642""",4,4.27,W. W. Norton  Company,Paperback,288,2018,1988,2018/12/28,2018/11/04,,,read,,,,1,,,0,,,,,
20518872,The Three-Body Problem (Remembrance of Earth’s Past #1),Liu Cixin,"Cixin, Liu","Cixin Liu, Ken Liu","=""0765377063""","=""9780765377067""",5,4.06,Tor Books,Hardcover,399,2014,2008,2018/12/09,2018/10/07,,,read,,,,1,,,0,,,,,
13642710,"Nexus (Nexus, #1)",Ramez Naam,"Naam, Ramez",,"=""0857662937""","=""9780857662934""",4,4.05,Angry Robot,Paperback,460,2012,2012,2018/11/29,2018/09/04,,,read,,,,1,,,0,,,,,
36442813,The Order of Time,Carlo Rovelli,"Rovelli, Carlo",,"=""073521610X""","=""9780735216105""",5,4.07,Riverhead Books,Hardcover,240,2018,2017,2018/11/28,2018/11/21,,,read,,,,1,,,0,,,,,
18161930,"American Gods (American Gods, #1)",Neil Gaiman,"Gaiman, Neil",,"=""0755322819""","=""9780755322817""",4,4.11,headline,Paperback,722,2013,2001,2018/08/07,2018/08/03,,,read,,,,1,,,0,,,,,
49455,Notes from Underground,Fyodor Dostoyevsky,"Dostoyevsky, Fyodor","Richard Pevear, Philip Dossick, Larissa Volokhonsky","=""067973452X""","=""9780679734529""",4,4.16,Vintage Classics,Paperback,136,1994,1864,2018/11/20,2018/11/13,,,read,,,,1,,,0,,,,,
34888565,Artemis,Andy Weir,"Weir, Andy",,"=""0091956951""","=""9780091956950""",3,3.67,Del Rey,Paperback,305,2017,2017,,2018/06/23,,,read,,,,1,,,0,,,,,
29800,"Scott Pilgrim, Volume 1: Scott Pilgrim's Precious Little Life",Bryan Lee O'Malley,"O'Malley, Bryan Lee",,"=""1932664084""","=""9781932664089""",0,4.16,Oni Press,Paperback,168,2004,2004,,2018/11/17,,,read,,,,1,,,0,,,,,
8520362,The Grand Design,Stephen Hawking,"Hawking, Stephen",Leonard Mlodinow,"=""0553805371""","=""9780553805376""",0,4.04,Bantam,Hardcover,199,2010,2010,,2018/11/01,,,read,,,,1,,,0,,,,,
34890015,Factfulness: Ten Reasons We're Wrong About the World – and Why Things Are Better Than You Think,Hans Rosling,"Rosling, Hans","Ola Rosling, Anna Rosling Rönnlund","=""1473637465""","=""9781473637467""",5,4.36,Sceptre,Hardcover,342,2018,2018,2018/10/30,2018/08/13,,,read,,,,1,,,0,,,,,
6051255,The City & the City,China Miéville,"Miéville, China",,"=""1405000171""","=""9781405000178""",5,3.91,Pan Macmillan,Hardcover,312,2009,2009,2018/10/20,2018/10/13,,,read,,,,1,,,0,,,,,
844422,Battle Angel Alita,Yukito Kishiro,"Kishiro, Yukito","Fred Burke, Sterling Bell, Matt Thorn","=""1569310033""","=""9781569310038""",0,4.18,VIZ Media LLC,Paperback,248,1995,1990,2018/10/12,2018/09/30,,,read,,,,1,,,0,,,,,
38337005,"Altered Carbon (Takeshi Kovacs, #1)",Richard K. Morgan,"Morgan, Richard K.",,"=""1473223679""","=""9781473223677""",5,4.06,Gollancz,Paperback,471,2018,2002,2018/10/09,2018/10/04,,,read,,,,1,,,0,,,,,
10362658,"Perdido Street Station (New Crobuzon, #1)",China Miéville,"Miéville, China",,"=""0330534238""","=""9780330534239""",5,3.97,Pan Books,Paperback,867,2011,2000,2018/10/02,2018/08/19,,,read,,,,1,,,0,,,,,
20898018,"Captain Marvel, Volume 1: Higher, Further, Faster, More",Kelly Sue DeConnick,"DeConnick, Kelly Sue",David López,"=""0785190139""","=""9780785190134""",0,4.07,Marvel,Paperback,136,2014,2014,2018/09/30,2018/09/29,,,read,,,,1,,,0,,,,,
28186151,How to Talk to Girls at Parties,Neil Gaiman,"Gaiman, Neil","Fábio Moon, Gabriel Bá, Diana Schutz","=""1616559551""","=""9781616559557""",0,3.63,Dark Horse Books,Hardcover,64,2016,2016,2018/09/26,2018/09/26,,,read,,,,1,,,0,,,,,
34274957,Life 3.0: Being Human in the Age of Artificial Intelligence,Max Tegmark,"Tegmark, Max",,"=""1101946598""","=""9781101946596""",4,4.06,Knopf Publishing Group,Hardcover,364,2017,2017,,2018/06/23,,,read,,,,1,,,0,,,,,
33775814,Born a Crime: Stories from a South African Childhood,Trevor Noah,"Noah, Trevor",,"=""1473635306""","=""9781473635302""",0,4.46,Hodder & Stoughton General Division,Paperback,304,2017,2016,2018/09/18,2018/09/14,,,read,,,,1,,,0,,,,,
30340274,The Undoing Project: A Friendship that Changed the World,Michael   Lewis,"Lewis, Michael",,"=""0241254736""","=""9780241254738""",5,3.98,Allen Lane,Hardcover,362,2016,2016,2018/09/07,2018/08/29,,,read,,,,1,,,0,,,,,
91950,The Myth of Sisyphus,Albert Camus,"Camus, Albert","Justin O'Brien, Corrado Rosso, James  Wood","=""0141182008""","=""9780141182001""",5,4.15,Penguin Classics,Paperback,192,2000,1942,2018/09/01,2018/08/25,,,read,,,,1,,,0,,,,,
18077875,Essentialism: The Disciplined Pursuit of Less,Greg McKeown,"McKeown, Greg",,"=""0804137382""","=""9780804137386""",0,4.03,Crown Business,Hardcover,260,2014,2011,,2018/08/25,,,read,,,,1,,,0,,,,,
15929762,The Personal MBA: A World-Class Business Education in a Single Volume,Josh Kaufman,"Kaufman, Josh",,"=""0670919535""","=""9780670919536""",0,4.05,Penguin,Paperback,446,2012,2010,2018/08/17,2018/08/10,,,read,,,,1,,,0,,,,,
40552752,Liar's Poker,Michael   Lewis,"Lewis, Michael",,"=""0340839961""","=""9780340839966""",0,4.14,Hodder And Stoughton,Paperback,304,2018,1989,,2018/06/23,,,read,,,,2,,,0,,,,,
38339819,The Refugees,Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""""","=""9781472153784""",0,3.88,Corsair,Paperback,209,2018,2017,2018/08/13,2018/06/29,,,read,,,,1,,,0,,,,,
25733994,"The Productivity Project: Accomplishing More by Managing Your Time, Attention, and Energy",Chris   Bailey,"Bailey, Chris",,"=""1101904038""","=""9781101904039""",0,4.03,Crown Business,Hardcover,304,2016,2016,2018/08/09,2018/07/23,,,read,,,,1,,,0,,,,,
34928122,Artemis,Andy Weir,"Weir, Andy",,"=""0553448129""","=""9780553448122""",0,3.67,Crown,Hardcover,305,2017,2017,,2018/08/06,,,read,,,,1,,,0,,,,,
23848071,The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,Michele Wucker,"Wucker, Michele",,"=""125005382X""","=""9781250053824""",4,3.63,St. Martin's Press,Hardcover,304,2016,2016,2018/07/17,2018/07/11,,,read,,,,1,,,0,,,,,
18759224,"Dune (Dune Chronicles, #1)",Frank Herbert,"Herbert, Frank",,"=""""","=""""",5,4.22,Gollancz,Hardcover,611,2007,1965,2018/08/03,2018/07/24,,,read,,,,1,,,0,,,,,
