Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
10534,The Art of War,Sun Tzu,"Tzu, Sun",Thomas Cleary,"=""1590302257""","=""9781590302255""",0,3.97,Shambhala,Paperback,273,2005,-500,,2018/06/26,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",Saulius Dagys,"=""0751529818""","=""9780751529814""",0,4.10,Warner,Paperback,210,2000,1997,,2018/06/26,,,read,,,,1,,,0,,,,,
3869,A Brief History of Time,Stephen Hawking,"Hawking, Stephen",,"=""0553380168""","=""9780553380163""",5,4.16,Bantam Books,Paperback,212,1998,1988,,2018/06/26,,,read,,,,1,,,0,,,,,
485894,The Metamorphosis,Franz Kafka,"Kafka, Franz","Mircea Ivănescu, Stanley Corngold","=""""","=""""",5,3.80,Bantam Classics,Paperback,201,1972,1915,,2018/06/23,,,read,,,,2,,,0,,,,,
7613,Animal Farm,George Orwell,"Orwell, George",,"=""0452284244""","=""9780452284241""",5,3.92,NAL,Paperback,122,2003,1945,,2018/06/23,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",5,4.14,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2018/06/26,,,read,,,,1,,,0,,,,,
4981,Slaughterhouse-Five,Kurt Vonnegut,"Vonnegut, Kurt",,"=""0385333846""","=""9780385333849""",5,4.07,Dial Press,Paperback,275,1999,1969,,2018/06/23,,,read,,,,1,,,0,,,,,
865,The Alchemist,Paulo Coelho,"Coelho, Paulo","Alan R. Clarke, Özdemir İnce","=""0061122416""","=""9780061122415""",0,3.85,HarperCollins,Paperback,197,1993,1988,,2018/06/25,,,read,,,,1,,,0,,,,,
1885,Pride and Prejudice,Jane Austen,"Austen, Jane",Anna Quindlen,"=""""","=""""",0,4.25,Modern Library,Paperback,279,2000,1813,,2018/06/25,,,read,,,,1,,,0,,,,,
28864592,Seveneves,Neal Stephenson,"Stephenson, Neal",,"=""0008132542""","=""9780008132545""",5,3.99,The Borough Press,Paperback,867,2016,2015,,2018/06/24,,,read,,,,1,,,0,,,,,
4982,The Sirens of Titan,Kurt Vonnegut,"Vonnegut, Kurt",,"=""1857988841""","=""9781857988840""",0,4.16,Gollancz,Paperback,224,1999,1959,,2018/06/25,,,read,,,,1,,,0,,,,,
4069,Man's Search for Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade, Isle Lasch","=""080701429X""","=""9780807014295""",0,4.36,Beacon Press,Paperback,165,2006,1946,,2018/06/24,,,read,,,,1,,,0,,,,,
20821159,The Peripheral,William Gibson,"Gibson, William",,"=""0399158448""","=""9780399158445""",0,3.94,Berkley,Hardcover,485,2014,2014,,2018/06/24,,,read,,,,1,,,0,,,,,
827,"The Diamond Age: Or, A Young Lady's Illustrated Primer",Neal Stephenson,"Stephenson, Neal",Pedro Jorge Romero,"=""0553380966""","=""9780553380965""",0,4.19,Spectra,Paperback,499,2000,1995,,2018/06/24,,,read,,,,1,,,0,,,,,
830,Snow Crash,Neal Stephenson,"Stephenson, Neal",Guy Abadia,"=""0553380958""","=""9780553380958""",5,4.03,Bantam Books,Paperback,438,2000,1992,,2018/06/23,,,read,,,,1,,,0,,,,,
22200,"Count Zero (Sprawl, #2)",William Gibson,"Gibson, William",,"=""0441013678""","=""9780441013678""",5,4.01,Ace Books,Paperback,308,2006,1986,,2018/06/23,,,read,,,,1,,,0,,,,,
2165,The Old Man and the Sea,Ernest Hemingway,"Hemingway, Ernest",,"=""0684830493""","=""9780684830490""",0,3.76,Scribner,Hardcover,132,1996,1952,,2018/06/23,,,read,,,,1,,,0,,,,,
49552,The Stranger,Albert Camus,"Camus, Albert",Matthew    Ward,"=""""","=""""",0,3.97,Vintage International,Paperback,123,1989,1942,,2018/06/23,,,read,,,,1,,,0,,,,,
578651,The Catcher in the Rye,J.D. Salinger,"Salinger, J.D.",,"=""014023750X""","=""9780140237504""",0,3.80,Penguin,Paperback,192,1994,1951,,2018/06/23,,,read,,,,1,,,0,,,,,
2657,"To Kill a Mockingbird (To Kill a Mockingbird, #1)",Harper Lee,"Lee, Harper",,"=""""","=""""",0,4.27,Harper Perennial Modern Classics,Paperback,324,2006,1960,,2018/06/23,,,read,,,,1,,,0,,,,,
18050143,"Zero to One: Notes on Startups, or How to Build the Future",Peter Thiel,"Thiel, Peter",Blake  Masters,"=""0804139296""","=""9780804139298""",0,4.16,Crown Business,Hardcover,195,2014,2014,,2018/06/23,,,read,,,,1,,,0,,,,,
29579,Foundation (Foundation #1),Isaac Asimov,"Asimov, Isaac",,"=""0553803719""","=""9780553803716""",0,4.16,Bantam,Hardcover,244,2004,1951,,2018/06/23,,,read,,,,1,,,0,,,,,
5470,1984,George Orwell,"Orwell, George",Erich Fromm,"=""""","=""""",0,4.17,New American Library,Mass Market Paperback,328,1950,1949,,2018/06/23,,,read,,,,1,,,0,,,,,
9969571,"Ready Player One (Ready Player One, #1)",Ernest Cline,"Cline, Ernest",,"=""030788743X""","=""9780307887436""",0,4.27,Crown Publishers,Hardcover,374,2011,2011,,2018/06/23,,,read,,,,1,,,0,,,,,
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",0,4.33,Scholastic Press,Hardcover,374,2008,2008,,2018/06/23,,,read,,,,1,,,0,,,,,
449573,The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,"Hawking, Stephen",,"=""0641587716""","=""9780641587719""",0,4.15,New Millennium Entertainment,Hardcover,176,2002,2002,,2018/06/23,,,read,,,,1,,,0,,,,,
2845024,Anathem,Neal Stephenson,"Stephenson, Neal",,"=""0061474096""","=""9780061474095""",5,4.18,William Morrow,Hardcover,937,2008,2008,,2018/06/23,,,read,,,,1,,,0,,,,,
2195464,What I Talk About When I Talk About Running,Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269191""","=""9780307269195""",5,3.83,Knopf Publishing Group,Hardcover,188,2008,2007,2018/01/01,2018/06/23,,,read,,,,1,,,0,,,,,
